date,index_value,daily_return
2020-01-02,1000.0000000000,0.0000000000
2020-01-03,990.6739848101,-0.0093260152
2020-01-06,995.3223443898,0.0046921183
2020-01-07,1001.3181252416,0.0060239589
2020-01-08,1004.7408782256,0.0034182473
2020-01-09,1007.4495648102,0.0026959056
2020-01-10,1005.0419581896,-0.0023898036
2020-01-13,1019.3055213559,0.0141920077
2020-01-14,1018.4733444386,-0.0008164156
2020-01-15,1015.8596414772,-0.0025662949
2020-01-16,1032.8612411823,0.0167361700
2020-01-17,1031.7531614792,-0.0010728253
2020-01-21,1029.4862218212,-0.0021971725
2020-01-22,1034.2702490442,0.0046470046
2020-01-23,1039.6816905843,0.0052321350
2020-01-24,1030.1508161879,-0.0091671081
2020-01-27,1004.6430520201,-0.0247611940
2020-01-28,1022.6196903050,0.0178935576
2020-01-29,1017.4757726078,-0.0050301375
2020-01-30,1022.0055932215,0.0044520182
2020-01-31,997.8132851701,-0.0236714047
2020-02-03,1009.1839906795,0.0113956245
2020-02-04,1039.7901383061,0.0303276191
2020-02-05,1043.1579218365,0.0032389070
2020-02-06,1049.3392607716,0.0059256023
2020-02-07,1039.4868473035,-0.0093891593
2020-02-10,1054.9152036551,0.0148422815
2020-02-11,1063.8427304972,0.0084627910
2020-02-12,1074.7846671097,0.0102852953
2020-02-13,1076.0881060732,0.0012127443
2020-02-14,1074.9695989341,-0.0010394197
2020-02-18,1071.5953374110,-0.0031389367
2020-02-19,1086.2156804476,0.0136435299
2020-02-20,1079.5132168640,-0.0061704721
2020-02-21,1055.8478908788,-0.0219222198
2020-02-24,1012.0864199138,-0.0414467570
2020-02-25,982.2832916345,-0.0294472169
2020-02-26,985.3546757711,0.0031267804
2020-02-27,948.7072480265,-0.0371921184
2020-02-28,953.3220898951,0.0048643476
2020-03-02,984.7179317957,0.0329330897
2020-03-03,957.1534496832,-0.0279922618
2020-03-04,995.8335709531,0.0404116198
2020-03-05,971.7296263535,-0.0242047921
2020-03-06,948.4613567917,-0.0239452096
2020-03-09,877.7464853751,-0.0745574618
2020-03-10,927.4789365913,0.0566592428
2020-03-11,881.6752051340,-0.0493851986
2020-03-12,787.3728052048,-0.1069582079
2020-03-13,860.9504568821,0.0934470319
2020-03-16,742.4393131297,-0.1376515255
2020-03-17,796.3091998303,0.0725579664
2020-03-18,750.8571452399,-0.0570783994
2020-03-19,776.9768171430,0.0347864731
2020-03-20,769.2760900688,-0.0099111414
2020-03-23,770.9946635740,0.0022340139
2020-03-24,859.9621004156,0.1153930644
2020-03-25,862.3370001640,0.0027616330
2020-03-26,916.6994693505,0.0630408636
2020-03-27,881.5910945048,-0.0382986748
2020-03-30,915.2037745677,0.0381272908
2020-03-31,899.9253093022,-0.0166940584
