date,index_value,daily_return
2026-06-18,1000.0000000000,0.0000000000
2026-06-22,1004.5866481987,0.0045866482
2026-06-23,972.1688340930,-0.0322698039
2026-06-24,965.8353308568,-0.0065148182
2026-06-25,976.2589966253,0.0107923840
2026-06-26,967.9440971170,-0.0085171041
2026-06-29,999.0043055799,0.0320888454
2026-06-30,1023.0373090975,0.0240569569
2026-07-01,996.5188777236,-0.0259212750
2026-07-02,963.1395965258,-0.0334958845
2026-07-06,981.7858111150,0.0193598256
2026-07-07,963.9200358863,-0.0181972229
2026-07-08,973.4042440644,0.0098392064
2026-07-09,1002.2379559457,0.0296215186
2026-07-10,997.6706259970,-0.0045571313
2026-07-13,975.0612718989,-0.0226621427
2026-07-14,996.0931769461,0.0215698292
2026-07-15,982.7016623187,-0.0134440381
2026-07-16,954.7796398224,-0.0284135293
2026-07-17,942.6484248332,-0.0127057747
